127.0.0.1 - - [09/May/2017:06:41:46 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [09/May/2017:06:41:47 +0900] "GET /LectureSystem/MainLogin.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [09/May/2017:06:41:49 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [09/May/2017:06:41:49 +0900] "GET /chat_client.html HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/May/2017:06:41:49 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:41:49 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:08 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:08 +0900] "GET /LectureSystem/list1%22%22 HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:08 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:08 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:10 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:10 +0900] "GET /LectureSystem/list1%22%22 HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:10 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:10 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:21 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:21 +0900] "GET /LectureSystem/list1.jsp HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:21 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:21 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:22 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:22 +0900] "GET /LectureSystem/list1.jsp HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:22 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:22 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:34 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:34 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:34 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:34 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:35 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:35 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:35 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:35 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:36 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:38 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:38 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:38 +0900] "GET /LectureSystem/Chatting.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:38 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:42 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [09/May/2017:06:43:44 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [09/May/2017:06:55:20 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [09/May/2017:06:56:17 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/May/2017:06:59:21 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [09/May/2017:07:01:57 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [09/May/2017:07:02:07 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [09/May/2017:07:02:38 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:03:13 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:03:14 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:03:15 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:11 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:18 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:19 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:23 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:24 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:24 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:24 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:30 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:37 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:38 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:38 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:04:38 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:05:33 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:05:33 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [09/May/2017:07:06:33 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:08 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:09 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:15 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:15 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:18 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:19 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:20 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:07:07:21 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/May/2017:08:10:04 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [09/May/2017:08:11:30 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [09/May/2017:08:11:31 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [09/May/2017:08:11:32 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [09/May/2017:08:11:37 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [09/May/2017:08:11:37 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [09/May/2017:08:11:59 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [09/May/2017:08:12:15 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [09/May/2017:08:12:16 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [09/May/2017:08:12:17 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [09/May/2017:08:12:18 +0900] "GET /LectureSystem/write1.jsp HTTP/1.1" 200 2798
